id,id_OSM,distance,lat_OSM,lon_OSM,coord_OSM,DISTRITO,BARRIO,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,coord
45936,344102351,9.915783542652905,40.3982267,-3.6569817,"(40.398226700000002, -3.6569816999999998)",PUENTE DE VALLECAS,NUMANCIA,MU-16,"444240,5184","4472172,447",-3.6570606231689453,40.398292541503906,"(40.398293, -3.6570606)"
53071,839123382,7.979851300970734,40.5074085,-3.6979885,"(40.507408499999997, -3.6979885000000001)",FUENCARRAL-EL PARDO,EL GOLOSO,MU-16,"440860,6361","4484318,555",-3.6980173587799072,40.507476806640625,"(40.507477, -3.6980174)"
6755,839123387,6.881992933169838,40.5070926,-3.6978287,"(40.5070926, -3.6978287000000001)",FUENCARRAL-EL PARDO,EL GOLOSO,MU-16,"440874,6358","4484282,555",-3.6978487968444824,40.50715255737305,"(40.507153, -3.6978488)"
49432,1591330097,5.852716457167636,40.430525,-3.6996099,"(40.430525000000003, -3.6996099)",CHAMBERÍ,TRAFALGAR,BA-103,"440662,5843","4475774,438",-3.6995556354522705,40.43049240112305,"(40.430492, -3.6995556)"
40521,1591330097,5.183105442161156,40.430525,-3.6996099,"(40.430525000000003, -3.6996099)",CHAMBERÍ,TRAFALGAR,BA-103,"440660,5843","4475773,438",-3.6995790004730225,40.430484771728516,"(40.430485, -3.699579)"
23430,1591330113,5.202197163220798,40.4305556,-3.6996652,"(40.430555599999998, -3.6996652000000001)",CHAMBERÍ,TRAFALGAR,BA-103,"440651,5843","4475776,438",-3.699685573577881,40.430511474609375,"(40.430511, -3.6996856)"
8922,1591330113,5.3227640504932285,40.4305556,-3.6996652,"(40.430555599999998, -3.6996652000000001)",CHAMBERÍ,TRAFALGAR,BA-103,"440655,5843","4475786,438",-3.699639320373535,40.430599212646484,"(40.430599, -3.6996393)"
60563,1591330140,5.594643232650628,40.4306486,-3.6996585,"(40.430648599999998, -3.6996585)",CHAMBERÍ,TRAFALGAR,BA-103,"440659,5843","4475791,438",-3.6995925903320312,40.43064498901367,"(40.430645, -3.6995926)"
10988,1591330140,6.707041899450373,40.4306486,-3.6996585,"(40.430648599999998, -3.6996585)",CHAMBERÍ,TRAFALGAR,BA-103,"440660,5843","4475790,438",-3.699580669403076,40.43063735961914,"(40.430637, -3.6995807)"
36444,1591330140,5.23874173687536,40.4306486,-3.6996585,"(40.430648599999998, -3.6996585)",CHAMBERÍ,TRAFALGAR,BA-103,"440658,5843","4475789,438",-3.6996042728424072,40.430625915527344,"(40.430626, -3.6996043)"
61343,1591330141,5.41414604010454,40.4306638,-3.6994694,"(40.430663799999998, -3.6994693999999999)",CHAMBERÍ,TRAFALGAR,BA-103,"440674,5842","4475796,438",-3.699416160583496,40.43069076538086,"(40.430691, -3.6994162)"
17318,1591330141,6.852121437486177,40.4306638,-3.6994694,"(40.430663799999998, -3.6994693999999999)",CHAMBERÍ,TRAFALGAR,BA-103,"440676,5842","4475795,438",-3.699392557144165,40.43068313598633,"(40.430683, -3.6993926)"
62473,1595614371,7.4255162454264765,40.3871479,-3.7599569,"(40.387147900000002, -3.7599569000000002)",LATINA,ALUCHE,MU-16,"435491,6158","4471009,563",-3.760030508041382,40.387184143066406,"(40.387184, -3.7600305)"
61728,1595614373,7.425355136165801,40.387229,-3.7596934,"(40.387228999999998, -3.7596934000000002)",LATINA,ALUCHE,MU-16,"435521,6157","4471021,562",-3.759678363800049,40.38729476928711,"(40.387295, -3.7596784)"
