id_OSM,lat_OSM,lon_OSM,coord_OSM,distance
344102351,40.3982267,-3.6569817,"(40.398226700000002, -3.6569816999999998)",18499.572198990132
839123382,40.5074085,-3.6979885,"(40.507408499999997, -3.6979885000000001)",7696.737249886628
839123387,40.5070926,-3.6978287,"(40.5070926, -3.6978287000000001)",7723.170628942559
847920962,40.4478729,-3.7405344,"(40.4478729, -3.7405344)",10284.798752144314
849583465,40.4354844,-3.7352497,"(40.4354844, -3.7352496999999998)",11732.969984779313
849583472,40.4409506,-3.7387254,"(40.440950600000001, -3.7387253999999999)",11061.932239146952
849583491,40.4452363,-3.7392551,"(40.445236299999998, -3.7392550999999998)",10597.395606326188
849583495,40.4509242,-3.7406442,"(40.450924200000003, -3.7406442000000002)",9962.669858171103
849583503,40.4383501,-3.7375175,"(40.438350100000001, -3.7375175)",11368.711387792231
849583520,40.4522938,-3.7392268,"(40.4522938, -3.7392268)",9862.767618252978
849583521,40.4541285,-3.7391853,"(40.454128500000003, -3.7391852999999999)",9674.154295602757
849583527,40.4371988,-3.7365694,"(40.437198799999997, -3.7365694)",11516.025734271823
849583528,40.4498269,-3.7413175,"(40.449826899999998, -3.7413175000000001)",10057.841877649545
849583538,40.4503751,-3.7406765,"(40.450375100000002, -3.7406765000000002)",10019.035296460159
849583572,40.4430279,-3.7389048,"(40.443027899999997, -3.7389047999999998)",10838.78776158167
849583586,40.4359205,-3.7355548,"(40.435920500000002, -3.7355548000000001)",11678.63178118222
849583602,40.4392433,-3.73806,"(40.439243300000001, -3.7380599999999999)",11259.812313511631
849583611,40.4442039,-3.7389694,"(40.444203899999998, -3.7389694000000002)",10713.669350507327
849583663,40.4380741,-3.7372892,"(40.438074100000001, -3.7372892000000002)",11404.045911049603
849583666,40.43485,-3.7348728,"(40.434849999999997, -3.7348728000000002)",11810.133912314071
849583673,40.4374978,-3.7368087,"(40.437497800000003, -3.7368087000000001)",11477.950770056601
849583679,40.4503036,-3.7407468,"(40.450303599999998, -3.7407468000000001)",10024.45459274296
849583689,40.4399213,-3.7384303,"(40.439921300000002, -3.7384303000000001)",11178.30155781605
