id,id_OSM,distance,lat_OSM,lon_OSM,coord_OSM,DISTRITO,BARRIO,DIRECCION,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,coord
77636,1252641337,22.676110838983195,40.4746218,-3.6482156,"(40.474621800000001, -3.6482155999999999)",HORTALEZA,PINAR DEL REY,"CALLE DE FRANCISCO PALOMO,3",50_LTS,"445034,2002","4480627,253",-3.648439884185791,40.474510192871094,"(40.47451, -3.6484399)"
41635,1252641360,31.445296932300643,40.4741571,-3.6485397,"(40.474157099999999, -3.6485397000000002)",HORTALEZA,PINAR DEL REY,"Av · AVENIDA SAN LUIS 22 , ASCENDIENTE 1: 164 · P",,"445035,0436","4480558,124",-3.6484241485595703,40.4738883972168,"(40.473888, -3.6484241)"
25298,1252641360,26.359885325995368,40.4741571,-3.6485397,"(40.474157099999999, -3.6485397000000002)",HORTALEZA,PINAR DEL REY,JARDIN,MU-11B,"445035,5788","4480612,616",-3.6484224796295166,40.4743766784668,"(40.474377, -3.6484225)"
3501,1252641360,33.1258828177615,40.4741571,-3.6485397,"(40.474157099999999, -3.6485397000000002)",HORTALEZA,PINAR DEL REY,"CALLE DE FELIPE HERRANZ,18",50_LTS,"445058,4728","4480584,892",-3.6481499671936035,40.47412872314453,"(40.474129, -3.64815)"
13642,1252641360,20.79997705408817,40.4741571,-3.6485397,"(40.474157099999999, -3.6485397000000002)",HORTALEZA,PINAR DEL REY,"CALLE DE FELIPE HERRANZ,5",50_LTS_EX,"445044,8775","4480580,552",-3.6483099460601807,40.474090576171875,"(40.474091, -3.6483099)"
53774,1252641360,42.45746347037228,40.4741571,-3.6485397,"(40.474157099999999, -3.6485397000000002)",HORTALEZA,PINAR DEL REY,"CALLE DE LA BAHIA DE ALGECIRAS,22",50_LTS,"444988,8249","4480566,533",-3.648970127105713,40.473960876464844,"(40.473961, -3.6489701)"
44042,1252641360,24.153594218154897,40.4741571,-3.6485397,"(40.474157099999999, -3.6485397000000002)",HORTALEZA,PINAR DEL REY,JARDIN,MU-11B,"445033,6394","4480565,255",-3.6484413146972656,40.47395324707031,"(40.473953, -3.6484413)"
25290,1252641360,37.84916311818885,40.4741571,-3.6485397,"(40.474157099999999, -3.6485397000000002)",HORTALEZA,PINAR DEL REY,PARCELA,MU-11B,"444994,9396","4480565,872",-3.648897886276245,40.47395324707031,"(40.473953, -3.6488979)"
26389,1252641360,25.472651152148483,40.4741571,-3.6485397,"(40.474157099999999, -3.6485397000000002)",HORTALEZA,PINAR DEL REY,JARDIN,MU-11B,"445017,8594","4480563,814",-3.648627281188965,40.47393798828125,"(40.473938, -3.6486273)"
68484,1252641360,31.445296932300643,40.4741571,-3.6485397,"(40.474157099999999, -3.6485397000000002)",HORTALEZA,PINAR DEL REY,"Av · AVENIDA SAN LUIS 22 , ASCENDIENTE 1: 164 · P",,"445035,0436","4480558,124",-3.6484241485595703,40.4738883972168,"(40.473888, -3.6484241)"
43965,1252641360,31.445296932300643,40.4741571,-3.6485397,"(40.474157099999999, -3.6485397000000002)",HORTALEZA,PINAR DEL REY,"Av · AVENIDA SAN LUIS 22 , ASCENDIENTE 1: 164 · P",,"445035,0436","4480558,124",-3.6484241485595703,40.4738883972168,"(40.473888, -3.6484241)"
16136,1252641360,31.445296932300643,40.4741571,-3.6485397,"(40.474157099999999, -3.6485397000000002)",HORTALEZA,PINAR DEL REY,"Av · AVENIDA SAN LUIS 22 , ASCENDIENTE 1: 164 · P",,"445035,0436","4480558,124",-3.6484241485595703,40.4738883972168,"(40.473888, -3.6484241)"
