DISTRITO,BARRIO,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
VILLAVERDE,SAN ANDRÉS,MU-15A,439465.4693,4466269.482,-3.7127647399902344,40.34477996826172,node/3627378736,40.3448547,-3.7128183,"(40.344854699999999, -3.7128182999999999)",,9.471371500664027,"(40.344854699999999, -3.7128182999999999)"
VILLAVERDE,SAN ANDRÉS,MU-15B,439459.4693,4466270.482,-3.7128353118896484,40.344791412353516,node/3627378736,40.3448547,-3.7128183,"(40.344854699999999, -3.7128182999999999)",,7.185455952365722,"(40.344854699999999, -3.7128182999999999)"
VILLAVERDE,SAN ANDRÉS,MU-15A,439468.4693,4466275.482,-3.7127299308776855,40.3448371887207,node/3627378736,40.3448547,-3.7128183,"(40.344854699999999, -3.7128182999999999)",,7.740324020869528,"(40.344854699999999, -3.7128182999999999)"
VILLAVERDE,SAN ANDRÉS,BA-3,439468.4696,4466303.482,-3.7127325534820557,40.345088958740234,node/3627378736,40.3448547,-3.7128183,"(40.344854699999999, -3.7128182999999999)",,27.05065520001311,"(40.344854699999999, -3.7128182999999999)"
VILLAVERDE,SAN ANDRÉS,BA-3,439470.4697,4466307.482,-3.712709426879883,40.345123291015625,node/3627378736,40.3448547,-3.7128183,"(40.344854699999999, -3.7128182999999999)",,31.267559757101896,"(40.344854699999999, -3.7128182999999999)"
VILLAVERDE,SAN ANDRÉS,BA-3,439474.4698,4466315.482,-3.712663173675537,40.34519577026367,node/3627378736,40.3448547,-3.7128183,"(40.344854699999999, -3.7128182999999999)",,40.15059937799572,"(40.344854699999999, -3.7128182999999999)"
VILLAVERDE,SAN ANDRÉS,MU-17,439232.4725,4466468.485,-3.715526819229126,40.3465576171875,node/3136517505,40.3468932,-3.7156915,"(40.346893199999997, -3.7156915000000001)",,39.85076386603133,"(40.346893199999997, -3.7156915000000001)"
VILLAVERDE,SAN ANDRÉS,MU-17,439226.4726,4466472.485,-3.7155978679656982,40.34659194946289,node/3136517490,40.347024,-3.7156272,"(40.347023999999998, -3.7156272000000001)",,48.119647790826406,"(40.347023999999998, -3.7156272000000001)"
VILLAVERDE,SAN ANDRÉS,MU-17,439216.4726,4466475.486,-3.7157158851623535,40.34661865234375,node/3136517490,40.347024,-3.7156272,"(40.347023999999998, -3.7156272000000001)",,45.70779238642165,"(40.347023999999998, -3.7156272000000001)"
VILLAVERDE,SAN ANDRÉS,MU-17,439220.4726,4466477.486,-3.7156689167022705,40.34663772583008,node/3136517490,40.347024,-3.7156272,"(40.347023999999998, -3.7156272000000001)",,43.1091197801886,"(40.347023999999998, -3.7156272000000001)"
VILLAVERDE,SAN ANDRÉS,MU-17,439210.4727,4466478.486,-3.7157866954803467,40.34664535522461,node/3136517490,40.347024,-3.7156272,"(40.347023999999998, -3.7156272000000001)",,44.23228643924821,"(40.347023999999998, -3.7156272000000001)"
VILLAVERDE,SAN ANDRÉS,MU-17,439232.4727,4466484.485,-3.7155284881591797,40.346702575683594,node/3136517490,40.347024,-3.7156272,"(40.347023999999998, -3.7156272000000001)",,36.7170432298733,"(40.347023999999998, -3.7156272000000001)"
VILLAVERDE,SAN ANDRÉS,MU-17,439238.4726,4466484.485,-3.7154576778411865,40.346702575683594,node/3136517490,40.347024,-3.7156272,"(40.347023999999998, -3.7156272000000001)",,38.530882912768256,"(40.347023999999998, -3.7156272000000001)"
VILLAVERDE,SAN ANDRÉS,MU-16,439159.473,4466486.486,-3.716387987136841,40.34671401977539,node/3136517551,40.3466971,-3.7158471,"(40.3466971, -3.7158471)",,45.88964591638637,"(40.3466971, -3.7158471)"
VILLAVERDE,SAN ANDRÉS,MU-17,439216.4728,4466488.486,-3.715717315673828,40.346736907958984,node/3136517490,40.347024,-3.7156272,"(40.347023999999998, -3.7156272000000001)",,32.8332054614199,"(40.347023999999998, -3.7156272000000001)"
VILLAVERDE,SAN ANDRÉS,MU-17,439228.4728,4466494.486,-3.715576410293579,40.3467903137207,node/3136517490,40.347024,-3.7156272,"(40.347023999999998, -3.7156272000000001)",,26.346222008572443,"(40.347023999999998, -3.7156272000000001)"
VILLAVERDE,SAN ANDRÉS,MU-17,439215.4729,4466498.486,-3.7157299518585205,40.346824645996094,node/3136517490,40.347024,-3.7156272,"(40.347023999999998, -3.7156272000000001)",,23.82284963246737,"(40.347023999999998, -3.7156272000000001)"
VILLAVERDE,SAN ANDRÉS,MU-17,439222.4731,4466516.486,-3.715649127960205,40.346988677978516,node/3136517490,40.347024,-3.7156272,"(40.347023999999998, -3.7156272000000001)",,4.346286203040329,"(40.347023999999998, -3.7156272000000001)"
VILLAVERDE,SAN ANDRÉS,MU-17,439225.4732,4466525.486,-3.7156147956848145,40.347068786621094,node/3136517490,40.347024,-3.7156272,"(40.347023999999998, -3.7156272000000001)",,5.091217697045331,"(40.347023999999998, -3.7156272000000001)"
