DISTRITO,BARRIO,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
VILLAVERDE,SAN ANDRÉS,MU-15A,439465.4693,4466269.482,-3.7127647000000006,40.344781299999994,3627378736,40.3448547,-3.7128183,"(40.344854699999999, -3.7128182999999999)",,9.343294813344155,"(40.344781299999994, -3.7127647000000006)"
VILLAVERDE,SAN ANDRÉS,MU-15B,439459.4693,4466270.482,-3.7128354,40.344789899999995,3627378736,40.3448547,-3.7128183,"(40.344854699999999, -3.7128182999999999)",,7.351793276045218,"(40.344789899999995, -3.7128353999999999)"
VILLAVERDE,SAN ANDRÉS,MU-15A,439468.4693,4466275.482,-3.7127299,40.3448356,3627378736,40.3448547,-3.7128183,"(40.344854699999999, -3.7128182999999999)",,7.789186011346354,"(40.344835600000003, -3.7127298999999998)"
VILLAVERDE,SAN ANDRÉS,BA-3,439468.4696,4466303.482,-3.7127326000000003,40.345087799999995,3627378736,40.3448547,-3.7128183,"(40.344854699999999, -3.7128182999999999)",,26.925471212605494,"(40.345087799999995, -3.7127326000000003)"
VILLAVERDE,SAN ANDRÉS,BA-3,439470.4697,4466307.482,-3.7127093999999996,40.345124,3627378736,40.3448547,-3.7128183,"(40.344854699999999, -3.7128182999999999)",,31.343583471217087,"(40.345123999999998, -3.7127093999999996)"
VILLAVERDE,SAN ANDRÉS,BA-3,439474.4698,4466315.482,-3.7126631000000003,40.3451964,3627378736,40.3448547,-3.7128183,"(40.344854699999999, -3.7128182999999999)",,40.21882834323983,"(40.345196399999999, -3.7126631000000003)"
VILLAVERDE,SAN ANDRÉS,MU-17,439232.4725,4466468.485,-3.7155269,40.34655720000001,3136517505,40.3468932,-3.7156915,"(40.346893199999997, -3.7156915000000001)",,39.891833713927994,"(40.346557200000007, -3.7155269)"
VILLAVERDE,SAN ANDRÉS,MU-17,439226.4726,4466472.485,-3.7155979,40.346592799999996,3136517490,40.347024,-3.7156272,"(40.347023999999998, -3.7156272000000001)",,48.0250318432381,"(40.346592799999996, -3.7155979000000001)"
VILLAVERDE,SAN ANDRÉS,MU-17,439216.4726,4466475.486,-3.7157159,40.3466191,3136517490,40.347024,-3.7156272,"(40.347023999999998, -3.7156272000000001)",,45.65888720549555,"(40.346619099999998, -3.7157159000000002)"
VILLAVERDE,SAN ANDRÉS,MU-17,439220.4726,4466477.486,-3.715669,40.3466374,3136517490,40.347024,-3.7156272,"(40.347023999999998, -3.7156272000000001)",,43.14581792906345,"(40.346637399999999, -3.7156690000000001)"
