id_OSM,LATITUD,LONGITUD,coord
node/839123387,40.5070926,-3.6978287,"(40.5070926, -3.6978287000000001)"
node/847920962,40.4478729,-3.7405344,"(40.4478729, -3.7405344)"
node/849583465,40.4354844,-3.7352497,"(40.4354844, -3.7352496999999998)"
node/849583472,40.4409506,-3.7387254,"(40.440950600000001, -3.7387253999999999)"
node/849583491,40.4452363,-3.7392551,"(40.445236299999998, -3.7392550999999998)"
node/849583495,40.4509242,-3.7406442,"(40.450924200000003, -3.7406442000000002)"
node/849583503,40.4383501,-3.7375175,"(40.438350100000001, -3.7375175)"
node/849583520,40.4522938,-3.7392268,"(40.4522938, -3.7392268)"
node/849583521,40.4541285,-3.7391853,"(40.454128500000003, -3.7391852999999999)"
node/849583527,40.4371988,-3.7365694,"(40.437198799999997, -3.7365694)"
node/849583528,40.4498269,-3.7413175,"(40.449826899999998, -3.7413175000000001)"
node/849583538,40.4503751,-3.7406765,"(40.450375100000002, -3.7406765000000002)"
node/849583572,40.4430279,-3.7389048,"(40.443027899999997, -3.7389047999999998)"
node/849583586,40.4359205,-3.7355548,"(40.435920500000002, -3.7355548000000001)"
node/849583602,40.4392433,-3.73806,"(40.439243300000001, -3.7380599999999999)"
node/849583611,40.4442039,-3.7389694,"(40.444203899999998, -3.7389694000000002)"
node/849583663,40.4380741,-3.7372892,"(40.438074100000001, -3.7372892000000002)"
node/849583666,40.43485,-3.7348728,"(40.434849999999997, -3.7348728000000002)"
node/849583679,40.4503036,-3.7407468,"(40.450303599999998, -3.7407468000000001)"
node/849583689,40.4399213,-3.7384303,"(40.439921300000002, -3.7384303000000001)"
node/849583697,40.4467515,-3.7399653,"(40.446751499999998, -3.7399653000000002)"
node/849583701,40.4497669,-3.7413372,"(40.4497669, -3.7413371999999998)"
node/1531843178,40.4037544,-3.7568431,"(40.403754399999997, -3.7568431000000002)"
node/1531843184,40.4037609,-3.7567794,"(40.403760900000002, -3.7567794000000001)"
node/1591330140,40.4306486,-3.6996585,"(40.430648599999998, -3.6996585)"
node/1613028882,40.4126328,-3.7364487,"(40.412632799999997, -3.7364487)"
node/1634750486,40.4117798,-3.7112126,"(40.411779799999998, -3.7112126000000001)"
node/1645108323,40.4136478,-3.7332293,"(40.4136478, -3.7332293000000001)"
node/1645108325,40.4137433,-3.733497,"(40.4137433, -3.7334969999999998)"
node/1728461333,40.452932,-3.6961717,"(40.452931999999997, -3.6961716999999998)"
node/1728461423,40.4535804,-3.6972342,"(40.4535804, -3.6972342)"
node/1728461443,40.453769,-3.6971417,"(40.453769000000001, -3.6971417)"
node/1728461451,40.4537739,-3.697215,"(40.453773900000002, -3.6972149999999999)"
node/1728461455,40.4538648,-3.6972008,"(40.453864799999998, -3.6972008000000001)"
node/1728461493,40.4540154,-3.6971893,"(40.454015400000003, -3.6971892999999998)"
node/1728461515,40.4542207,-3.697179,"(40.4542207, -3.6971790000000002)"
node/1728461533,40.4545266,-3.6971469,"(40.454526600000001, -3.6971468999999999)"
node/1728461544,40.4546009,-3.6970659,"(40.454600900000003, -3.6970659000000001)"
node/1728461546,40.4546049,-3.6971315,"(40.4546049, -3.6971314999999998)"
node/1802463879,40.4591494,-3.7250888,"(40.459149400000001, -3.7250888)"
node/1802463892,40.4594066,-3.7253267,"(40.459406600000001, -3.7253267000000001)"
node/1802463903,40.4595425,-3.7252503,"(40.459542499999998, -3.7252502999999999)"
node/1802463907,40.4596615,-3.7251097,"(40.459661500000003, -3.7251097)"
node/1890102293,40.4161496,-3.6727781,"(40.416149599999997, -3.6727780999999999)"
node/1890102303,40.4159862,-3.6730919,"(40.415986199999999, -3.6730919000000002)"
node/1890102318,40.4160269,-3.6733412,"(40.416026899999999, -3.6733411999999999)"
node/1890102321,40.4160412,-3.6732259,"(40.416041200000002, -3.6732258999999998)"
node/1890102328,40.4158718,-3.6734272,"(40.415871799999998, -3.6734271999999999)"
node/2001290833,40.4502333,-3.7260469,"(40.450233300000001, -3.7260469000000001)"
node/2001290914,40.4500428,-3.726019,"(40.450042799999999, -3.726019)"
node/2143246726,40.3923328,-3.7020676,"(40.392332799999998, -3.7020675999999999)"
node/2143246729,40.3930687,-3.7027275,"(40.393068700000001, -3.7027274999999999)"
node/2351691924,40.3998963,-3.7630303,"(40.399896300000002, -3.7630303000000001)"
node/2352895347,40.3881839,-3.7314677,"(40.388183900000001, -3.7314677000000001)"
node/2375150819,40.4076816,-3.735222,"(40.407681599999997, -3.7352219999999998)"
node/2475564231,40.4041108,-3.7085283,"(40.404110799999998, -3.7085283000000002)"
node/2475564287,40.4041843,-3.7088147,"(40.404184299999997, -3.7088147)"
node/2475564300,40.4042799,-3.708752,"(40.404279899999999, -3.708752)"
node/2475564314,40.4043011,-3.7086414,"(40.404301099999998, -3.7086413999999999)"
node/2475564327,40.4042327,-3.7085948,"(40.404232700000001, -3.7085948000000002)"
node/2764886807,40.438731,-3.6546483,"(40.438730999999997, -3.6546482999999998)"
node/2765191376,40.4388515,-3.6513456,"(40.438851499999998, -3.6513456)"
node/2765191377,40.4388533,-3.6513818,"(40.438853299999998, -3.6513817999999998)"
node/2765191379,40.4386818,-3.651697,"(40.438681799999998, -3.651697)"
node/2765191382,40.4386773,-3.651732,"(40.438677300000002, -3.651732)"
node/2765191383,40.438712,-3.651725,"(40.438712000000002, -3.6517249999999999)"
node/2765191385,40.4385597,-3.6515509,"(40.438559699999999, -3.6515509000000002)"
node/2765191387,40.4385415,-3.6516017,"(40.438541499999999, -3.6516017000000001)"
node/2792879913,40.5041183,-3.6176122,"(40.504118300000002, -3.6176121999999999)"
node/2800668852,40.4388065,-3.6538936,"(40.438806499999998, -3.6538936)"
node/2800668853,40.4388434,-3.6539457,"(40.438843400000003, -3.6539457)"
node/2800668856,40.4386803,-3.6541617,"(40.438680300000001, -3.6541617)"
node/2800668858,40.4387332,-3.6542053,"(40.438733200000001, -3.6542053000000001)"
node/2827800593,40.4249062,-3.6893526,"(40.424906200000002, -3.6893525999999999)"
node/2827800597,40.4249206,-3.6888871,"(40.4249206, -3.6888871000000001)"
node/2827804102,40.4249645,-3.6891461,"(40.424964500000002, -3.6891460999999999)"
node/2918070823,40.4092491,-3.7462603,"(40.409249099999997, -3.7462602999999999)"
node/2918070830,40.4100658,-3.745996,"(40.410065799999998, -3.7459959999999999)"
node/2918070831,40.4101043,-3.7462316,"(40.4101043, -3.7462316000000002)"
node/3105315577,40.4253301,-3.7039906,"(40.425330099999996, -3.7039906)"
node/3105315578,40.4253324,-3.7037629,"(40.425332400000002, -3.7037629000000001)"
node/3106170536,40.3544752,-3.7123326,"(40.354475200000003, -3.7123325999999999)"
node/3106170577,40.3544158,-3.7122709,"(40.354415799999998, -3.7122709)"
node/3106170585,40.3541726,-3.7122951,"(40.354172599999998, -3.7122951)"
node/3136517521,40.3468586,-3.71578,"(40.346858599999997, -3.7157800000000001)"
