DISTRITO,BARRIO,DIRECCION,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
VILLAVERDE,SAN ANDRÉS,,MU-11A,440349.4665,4466322.472,-3.702361583709717,40.34532165527344,node/3621303479,40.3457465,-3.7025001,"(40.345746499999997, -3.7025001)",,48.690965554925164,"(40.345746499999997, -3.7025001)"
VILLAVERDE,SAN ANDRÉS,,MU-11A,440332.4666,4466328.473,-3.7025623321533203,40.345375061035156,node/3621303479,40.3457465,-3.7025001,"(40.345746499999997, -3.7025001)",,41.649228482791365,"(40.345746499999997, -3.7025001)"
VILLAVERDE,SAN ANDRÉS,,MU-11A,440340.467,4466355.472,-3.7024707794189453,40.345619201660156,node/3621303479,40.3457465,-3.7025001,"(40.345746499999997, -3.7025001)",,14.375426428949643,"(40.345746499999997, -3.7025001)"
VILLAVERDE,SAN ANDRÉS,"CALLE CHIQUITA,4",50_LTS_EX,440322.7159,4466357.943,-3.7026801109313965,40.345638275146484,node/3621303479,40.3457465,-3.7025001,"(40.345746499999997, -3.7025001)",,19.436065102842345,"(40.345746499999997, -3.7025001)"
VILLAVERDE,SAN ANDRÉS,,MU-11A,440335.4671,4466372.473,-3.702531099319458,40.34577178955078,node/3621303479,40.3457465,-3.7025001,"(40.345746499999997, -3.7025001)",,3.8493890069707857,"(40.345746499999997, -3.7025001)"
VILLAVERDE,SAN ANDRÉS,,MU-11A,440344.4672,4466383.473,-3.7024261951446533,40.34587097167969,node/3621303479,40.3457465,-3.7025001,"(40.345746499999997, -3.7025001)",,15.196083898037287,"(40.345746499999997, -3.7025001)"
VILLAVERDE,SAN ANDRÉS,"CALLE DE SAN JENARO,26",50_LTS,440356.0495,4466384.32,-3.7022900581359863,40.34587860107422,node/3621303479,40.3457465,-3.7025001,"(40.345746499999997, -3.7025001)",,23.08513004298099,"(40.345746499999997, -3.7025001)"
VILLAVERDE,SAN ANDRÉS,"CALLE DE SAN JENARO,26",50_LTS,440371.3454,4466385.309,-3.7021098136901855,40.345890045166016,node/3621303479,40.3457465,-3.7025001,"(40.345746499999997, -3.7025001)",,36.73598123457497,"(40.345746499999997, -3.7025001)"
VILLAVERDE,SAN ANDRÉS,"CALLE DE TAIVILLA,4",50_LTS,440297.4753,4466388.115,-3.702979803085327,40.345909118652344,node/3621303479,40.3457465,-3.7025001,"(40.345746499999997, -3.7025001)",,44.50615765945699,"(40.345746499999997, -3.7025001)"
VILLAVERDE,SAN ANDRÉS,,MU-11A,440336.4674,4466394.473,-3.702521562576294,40.345970153808594,node/3621303479,40.3457465,-3.7025001,"(40.345746499999997, -3.7025001)",,24.94262125238568,"(40.345746499999997, -3.7025001)"
VILLAVERDE,SAN ANDRÉS,"CALLE DE TAIVILLA,2",50_LTS,440301.8099,4466399.181,-3.702929973602295,40.34600830078125,node/3621303479,40.3457465,-3.7025001,"(40.345746499999997, -3.7025001)",,46.646111269092174,"(40.345746499999997, -3.7025001)"
VILLAVERDE,SAN ANDRÉS,,MU-11A,440325.4675,4466402.473,-3.7026517391204834,40.34604263305664,node/3621303479,40.3457465,-3.7025001,"(40.345746499999997, -3.7025001)",,35.35728844918324,"(40.345746499999997, -3.7025001)"
VILLAVERDE,SAN ANDRÉS,"CALLE DEL VADO DE SANTIAGO,1",40_LTS,439573.1025,4466719.15,-3.7115399837493896,40.348838806152344,node/3136517517,40.3491933,-3.711472,"(40.349193300000003, -3.7114720000000001)",,39.847931159538604,"(40.349193300000003, -3.7114720000000001)"
VILLAVERDE,SAN ANDRÉS,"CALLE DEL ARROYO BUENO,53",80_LTS,439611.4524,4466735.493,-3.711090087890625,40.34899139404297,node/3136517517,40.3491933,-3.711472,"(40.349193300000003, -3.7114720000000001)",,39.40020162336606,"(40.349193300000003, -3.7114720000000001)"
