id_OSM,LATITUD,LONGITUD,coord
node/2798480992,40.4395474,-3.6549232,"(40.439547400000002, -3.6549231999999998)"
node/2803215906,40.4381268,-3.6538094,"(40.438126799999999, -3.6538094000000001)"
node/2821472421,40.4386981,-3.6526905,"(40.438698100000003, -3.6526904999999998)"
node/3285505470,40.4100122,-3.7033611,"(40.410012199999997, -3.7033611)"
node/3285505473,40.4053841,-3.7031063,"(40.405384099999999, -3.7031063)"
node/3285505476,40.4055209,-3.70294,"(40.405520899999999, -3.7029399999999999)"
node/3353540087,40.5079623,-3.7705013,"(40.507962300000003, -3.7705012999999998)"
node/3353540089,40.5141652,-3.7748453,"(40.514165200000001, -3.7748453)"
node/3353540091,40.5145044,-3.7755729,"(40.5145044, -3.7755728999999998)"
node/3428590044,40.4099229,-3.7036194,"(40.409922899999998, -3.7036194)"
node/3786662100,40.4666537,-3.7182889,"(40.466653700000002, -3.7182889000000001)"
node/4123920556,40.4498813,-3.7272181,"(40.449881300000001, -3.7272181)"
node/4123920560,40.4500098,-3.7268573,"(40.450009799999997, -3.7268572999999998)"
node/4123920563,40.4500251,-3.7259485,"(40.450025099999998, -3.7259484999999999)"
node/4123920565,40.4500282,-3.726472,"(40.450028199999998, -3.7264719999999998)"
node/4123920566,40.4500309,-3.7260379,"(40.450030900000002, -3.7260379000000001)"
node/4123920567,40.4500453,-3.7261495,"(40.450045299999999, -3.7261495)"
node/4123920569,40.4500561,-3.7258425,"(40.450056099999998, -3.7258425000000002)"
node/4123920571,40.4500647,-3.7263231,"(40.450064699999999, -3.7263231000000001)"
node/4123920575,40.4501176,-3.7267197,"(40.450117599999999, -3.7267196999999999)"
node/4123920576,40.45014,-3.7263328,"(40.450139999999998, -3.7263327999999998)"
node/4123920577,40.4501694,-3.7262388,"(40.4501694, -3.7262388)"
node/4123920581,40.4502556,-3.7259733,"(40.450255599999998, -3.7259733000000002)"
node/4123920582,40.4502978,-3.726326,"(40.450297800000001, -3.7263259999999998)"
node/4123920586,40.4504003,-3.7259129,"(40.450400299999998, -3.7259129)"
node/4123920588,40.4504795,-3.7259621,"(40.4504795, -3.7259620999999998)"
node/4123923989,40.4505089,-3.7261081,"(40.450508900000003, -3.7261080999999998)"
node/4124377976,40.4496242,-3.7264024,"(40.449624200000002, -3.7264024)"
node/4124377979,40.4497079,-3.7258334,"(40.4497079, -3.7258334)"
node/4124377983,40.4497355,-3.7255671,"(40.449735500000003, -3.7255671000000001)"
node/4124379592,40.4498069,-3.7255681,"(40.449806899999999, -3.7255680999999998)"
node/4124379594,40.4498307,-3.7258375,"(40.4498307, -3.7258374999999999)"
node/4124379596,40.4498668,-3.7256075,"(40.449866800000002, -3.7256075000000002)"
node/4124379599,40.4498767,-3.7259484,"(40.449876699999997, -3.7259484)"
node/4124379605,40.4499451,-3.7257981,"(40.449945100000001, -3.7257981)"
node/4124379618,40.4500548,-3.7256639,"(40.450054799999997, -3.7256638999999998)"
node/4124379624,40.4501301,-3.7256075,"(40.450130100000003, -3.7256075000000002)"
node/4124379631,40.4502099,-3.7256619,"(40.450209899999997, -3.7256619)"
node/4124379643,40.4503686,-3.7257547,"(40.450368599999997, -3.7257547)"
node/4124379649,40.450487,-3.7256377,"(40.450487000000003, -3.7256377000000001)"
node/4124379659,40.4505346,-3.7258395,"(40.450534599999997, -3.7258395000000002)"
node/4124379661,40.450553,-3.7256952,"(40.450552999999999, -3.7256952000000001)"
node/4124379665,40.4505899,-3.7259575,"(40.450589899999997, -3.7259574999999998)"
node/4124379669,40.4506122,-3.7257668,"(40.450612200000002, -3.7257668000000002)"
node/4456027694,40.4372136,-3.7211733,"(40.4372136, -3.7211732999999998)"
node/4619376480,40.4651687,-3.7072183,"(40.4651687, -3.7072183000000001)"
node/4619376481,40.4656033,-3.708011,"(40.465603299999998, -3.7080109999999999)"
node/4619376482,40.4656538,-3.7078956,"(40.465653799999998, -3.7078956000000001)"
node/4619376484,40.4661068,-3.7084074,"(40.466106799999999, -3.7084074)"
node/4619376485,40.4661389,-3.7082316,"(40.466138899999997, -3.7082316)"
node/4619376486,40.466548,-3.7082825,"(40.466548000000003, -3.7082825000000001)"
node/4619377189,40.4668797,-3.7085366,"(40.4668797, -3.7085366)"
node/4619377190,40.4671242,-3.708223,"(40.467124200000001, -3.7082229999999998)"
node/4619377192,40.4672062,-3.7084841,"(40.4672062, -3.7084841000000002)"
node/4619377193,40.4674363,-3.7081653,"(40.467436300000003, -3.7081653000000001)"
node/4619377194,40.4674703,-3.7083385,"(40.467470300000002, -3.7083385)"
node/4619377197,40.4677771,-3.7082488,"(40.467777099999999, -3.7082487999999998)"
node/4619377198,40.4679207,-3.7079761,"(40.467920700000001, -3.7079761000000002)"
node/4619377200,40.4679489,-3.7081144,"(40.467948900000003, -3.7081143999999999)"
node/4632741932,40.4643618,-3.7055086,"(40.464361799999999, -3.7055085999999999)"
node/4632741936,40.4646703,-3.7056341,"(40.464670300000002, -3.7056341000000002)"
node/4632741939,40.4650193,-3.7060104,"(40.465019300000002, -3.7060103999999998)"
node/4635305092,40.4637541,-3.7046782,"(40.463754100000003, -3.7046782)"
node/4635305094,40.4638007,-3.7048302,"(40.4638007, -3.7048302)"
node/4635305097,40.4639189,-3.7048314,"(40.463918900000003, -3.7048314000000002)"
node/4635305100,40.4639871,-3.7050855,"(40.463987099999997, -3.7050855)"
node/4635305102,40.4640076,-3.7055501,"(40.464007600000002, -3.7055501)"
