id_OSM,lat_OSM,lon_OSM,coord
1252641337,40.4746218,-3.6482156,"(40.474621800000001, -3.6482155999999999)"
1252641360,40.4741571,-3.6485397,"(40.474157099999999, -3.6485397000000002)"
1252641373,40.4748551,-3.6486894,"(40.474855099999999, -3.6486893999999999)"
1252641375,40.4735736,-3.6482154,"(40.473573600000002, -3.6482154000000002)"
1443235073,40.4490681,-3.7287216,"(40.449068099999998, -3.7287216000000001)"
2133152102,40.4036915,-3.7527988,"(40.403691500000001, -3.7527987999999999)"
2133152105,40.4046315,-3.7513842,"(40.404631500000001, -3.7513841999999999)"
2631199031,40.4038644,-3.7562714,"(40.403864400000003, -3.7562714000000001)"
2757304258,40.4384713,-3.6551845,"(40.438471300000003, -3.6551844999999998)"
2757304276,40.4385233,-3.6553782,"(40.4385233, -3.6553781999999999)"
2757304282,40.4388693,-3.6554855,"(40.4388693, -3.6554855000000002)"
2764886667,40.4401021,-3.6550956,"(40.440102099999997, -3.6550956000000001)"
2764886684,40.439174,-3.655041,"(40.439174000000001, -3.6550410000000002)"
2764886702,40.4398955,-3.6558139,"(40.439895499999999, -3.6558139000000001)"
2764886876,40.4392548,-3.6546673,"(40.439254800000001, -3.6546672999999998)"
2798480992,40.4395474,-3.6549232,"(40.439547400000002, -3.6549231999999998)"
2798481168,40.4392256,-3.6555999,"(40.4392256, -3.6555998999999999)"
2798540104,40.4387827,-3.6545659,"(40.438782699999997, -3.6545659000000001)"
2800602924,40.4380767,-3.653931,"(40.438076700000003, -3.653931)"
2800668859,40.4386894,-3.6542356,"(40.438689400000001, -3.6542355999999998)"
2800683170,40.4382298,-3.655658,"(40.438229800000002, -3.6556579999999999)"
2800683171,40.4383664,-3.6557066,"(40.4383664, -3.6557065999999998)"
2800720060,40.4383428,-3.653407,"(40.438342800000001, -3.6534070000000001)"
2803101536,40.4380724,-3.6537713,"(40.438072400000003, -3.6537712999999998)"
2803101543,40.4384608,-3.6529308,"(40.438460800000001, -3.6529308)"
2803215906,40.4381268,-3.6538094,"(40.438126799999999, -3.6538094000000001)"
2821472419,40.4386367,-3.6525836,"(40.438636700000004, -3.6525835999999998)"
2821472421,40.4386981,-3.6526905,"(40.438698100000003, -3.6526904999999998)"
2835692875,40.4377571,-3.6535265,"(40.437757099999999, -3.6535264999999999)"
2835692882,40.4379647,-3.6531244,"(40.437964700000002, -3.6531243999999998)"
3136517517,40.3491933,-3.711472,"(40.349193300000003, -3.7114720000000001)"
3273214343,40.4703879,-3.711888,"(40.470387899999999, -3.7118880000000001)"
3283864534,40.4099289,-3.7033851,"(40.409928899999997, -3.7033851000000002)"
3285505465,40.4054596,-3.7030097,"(40.4054596, -3.7030097)"
3285505466,40.4052779,-3.7032136,"(40.405277900000002, -3.7032136000000002)"
3285505468,40.4098655,-3.7035863,"(40.409865500000002, -3.7035863)"
3285505470,40.4100122,-3.7033611,"(40.410012199999997, -3.7033611)"
3285505473,40.4053841,-3.7031063,"(40.405384099999999, -3.7031063)"
3285505476,40.4055209,-3.70294,"(40.405520899999999, -3.7029399999999999)"
3353540087,40.5079623,-3.7705013,"(40.507962300000003, -3.7705012999999998)"
3353540089,40.5141652,-3.7748453,"(40.514165200000001, -3.7748453)"
3353540091,40.5145044,-3.7755729,"(40.5145044, -3.7755728999999998)"
3428476974,40.4335222,-3.6983096,"(40.433522199999999, -3.6983096)"
3428590044,40.4099229,-3.7036194,"(40.409922899999998, -3.7036194)"
3621303479,40.3457465,-3.7025001,"(40.345746499999997, -3.7025001)"
3786662084,40.4665284,-3.71855,"(40.466528400000001, -3.71855)"
3786662096,40.4666271,-3.7183189,"(40.466627099999997, -3.7183188999999999)"
3786662100,40.4666537,-3.7182889,"(40.466653700000002, -3.7182889000000001)"
3908009018,40.4035759,-3.7082863,"(40.4035759, -3.7082863000000001)"
3960252701,40.4726023,-3.699358,"(40.472602299999998, -3.6993580000000001)"
3960256016,40.4823495,-3.7029088,"(40.482349499999998, -3.7029087999999999)"
3961357669,40.47283,-3.6999824,"(40.472830000000002, -3.6999824000000001)"
3961357675,40.4729486,-3.7001957,"(40.472948600000002, -3.7001957000000001)"
4123920554,40.4498134,-3.7270559,"(40.449813399999996, -3.7270558999999999)"
4123920556,40.4498813,-3.7272181,"(40.449881300000001, -3.7272181)"
4123920558,40.4499777,-3.7270879,"(40.449977699999998, -3.7270878999999999)"
4123920560,40.4500098,-3.7268573,"(40.450009799999997, -3.7268572999999998)"
4123920563,40.4500251,-3.7259485,"(40.450025099999998, -3.7259484999999999)"
4123920565,40.4500282,-3.726472,"(40.450028199999998, -3.7264719999999998)"
4123920566,40.4500309,-3.7260379,"(40.450030900000002, -3.7260379000000001)"
4123920567,40.4500453,-3.7261495,"(40.450045299999999, -3.7261495)"
4123920569,40.4500561,-3.7258425,"(40.450056099999998, -3.7258425000000002)"
4123920571,40.4500647,-3.7263231,"(40.450064699999999, -3.7263231000000001)"
4123920574,40.4500894,-3.7257633,"(40.450089400000003, -3.7257633000000001)"
4123920575,40.4501176,-3.7267197,"(40.450117599999999, -3.7267196999999999)"
4123920576,40.45014,-3.7263328,"(40.450139999999998, -3.7263327999999998)"
4123920577,40.4501694,-3.7262388,"(40.4501694, -3.7262388)"
4123920578,40.4502216,-3.7257878,"(40.450221599999999, -3.7257878)"
4123920579,40.4502378,-3.7260916,"(40.450237799999996, -3.7260916000000002)"
4123920581,40.4502556,-3.7259733,"(40.450255599999998, -3.7259733000000002)"
4123920582,40.4502978,-3.726326,"(40.450297800000001, -3.7263259999999998)"
4123920586,40.4504003,-3.7259129,"(40.450400299999998, -3.7259129)"
4123920588,40.4504795,-3.7259621,"(40.4504795, -3.7259620999999998)"
4123923989,40.4505089,-3.7261081,"(40.450508900000003, -3.7261080999999998)"
4124377975,40.4496173,-3.7266667,"(40.4496173, -3.7266667)"
4124377976,40.4496242,-3.7264024,"(40.449624200000002, -3.7264024)"
4124377978,40.4496718,-3.7269179,"(40.449671799999997, -3.7269179000000001)"
4124377979,40.4497079,-3.7258334,"(40.4497079, -3.7258334)"
4124377983,40.4497355,-3.7255671,"(40.449735500000003, -3.7255671000000001)"
4124379592,40.4498069,-3.7255681,"(40.449806899999999, -3.7255680999999998)"
