CODIGO,id_OSM,distance,lat_OSM,lon_OSM,coord_OSM,ZONA VERDE / VIA PUBLICA,DISTRITO,DIRECCION,COMPLEMENTO DE DIRECCIÓN ,COORD. X,COORD. Y,SISTEMA DE COORDENADAS,ESTADO,OBSERVACIONES,FECHA DATOS,LONGITUD,LATITUD,coord
FB_000011,3117313482,11.256752154141433,40.4139852,-3.6883626,"(40.413985199999999, -3.6883626)",ZV,MONCLOA-ARAVACA,CASA DE CAMPO ZONA URBANA,FUENTE DEL PARKING DEL ZOO (JUNTO PARADA AUTOBUS),"435481,3259","4473502,352",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.760404348373413,40.40964126586914,"(40.409641, -3.7604043)"
FB_000011,3117313482,11.256752154141433,40.4139852,-3.6883626,"(40.413985199999999, -3.6883626)",ZV,RETIRO,JARDINES DEL BUEN RETIRO,A. 8 · BOSQUE DEL RECUERDO Y ENTORNO,"441607,814","4473929,64",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6882433891296387,40.4139404296875,"(40.41394, -3.6882434)"
FB_000018,1052390666,17.97179054998971,40.4134234,-3.7605708,"(40.413423399999999, -3.7605708)",ZV,RETIRO,JARDINES DEL BUEN RETIRO,A. 17 · ÁREA CANINA,"442256,56","4473420,36",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.680551052093506,40.40939712524414,"(40.409397, -3.6805511)"
FB_000018,1052390666,17.97179054998971,40.4134234,-3.7605708,"(40.413423399999999, -3.7605708)",ZV,MONCLOA-ARAVACA,CASA DE CAMPO ZONA FORESTAL,FUENTE DE LA GLORIETA DE LOS CAÑOS,"435488,4424","4473918,96",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7603628635406494,40.41339111328125,"(40.413391, -3.7603629)"
FB_000019,2495409183,10.038280025369177,40.408512,-3.6787212,"(40.408512000000002, -3.6787212)",ZV,RETIRO,JARDINES DEL BUEN RETIRO,A. 5 · ENCINAR,"442420,89","4473318,61",ETRS89 / UTM  Zona 30N,FUERA DE SERVICIO,DEFICIENCIA ESTRUCTURAL,3-nov.-17,-3.678605318069458,40.40849304199219,"(40.408493, -3.6786053)"
FB_000019,2495409183,10.038280025369177,40.408512,-3.6787212,"(40.408512000000002, -3.6787212)",ZV,MONCLOA-ARAVACA,CASA DE CAMPO ZONA FORESTAL,FUENTE Nº2 DE LA CARRETERA DE SOMOSAGUAS,"434129,565","4474635,376",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.776451826095581,40.41973876953125,"(40.419739, -3.7764518)"
FB_000023,1591488129,11.641791367835195,40.4155784,-3.684145,"(40.415578400000001, -3.684145)",ZV,RETIRO,JARDINES DEL BUEN RETIRO,A. 14 · ESTANQUE,"441965,89","4474101,4",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6840386390686035,40.41551208496094,"(40.415512, -3.6840386)"
FB_000023,1591488129,11.641791367835195,40.4155784,-3.684145,"(40.415578400000001, -3.684145)",ZV,MONCLOA-ARAVACA,CASA DE CAMPO ZONA URBANA,FUENTE DE LA GLORIETA DE SIETE HERMANAS,"436675,1912","4474168,151",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.746401309967041,40.41572952270508,"(40.41573, -3.7464013)"
FB_000026,3497610236,10.228739767485948,40.4172923,-3.680829,"(40.4172923, -3.6808290000000001)",ZV,RETIRO,JARDINES DEL BUEN RETIRO,A. 14 · ESTANQUE,"442235,03","4474305,95",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6808853149414062,40.41737365722656,"(40.417374, -3.6808853)"
FB_000026,3497610236,10.228739767485948,40.4172923,-3.680829,"(40.4172923, -3.6808290000000001)",ZV,MONCLOA-ARAVACA,CASA DE CAMPO ZONA URBANA,FUENTE Nº6 DEL BOSQUE DEL RUISEÑOR,"436929,8131","4474360,398",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7434194087982178,40.41748046875,"(40.41748, -3.7434194)"
