id_OSM,lat_OSM,lon_OSM,coord_OSM,distance
297655027,40.4672427,-3.6839934,"(40.4672427, -3.6839933999999999)",11177.445457984966
297682006,40.4232182,-3.6630123,"(40.423218200000001, -3.6630123000000001)",15969.721817670199
307782191,40.4812719,-3.669598,"(40.481271900000003, -3.6695980000000001)",11206.008286719038
307782194,40.4814665,-3.6687648,"(40.481466500000003, -3.6687647999999999)",11254.374788439687
307782198,40.4818256,-3.667237,"(40.481825600000001, -3.6672370000000001)",11343.638717603548
309412301,40.4918554,-3.7229501,"(40.491855399999999, -3.7229500999999998)",6899.514373354461
309541570,40.5089403,-3.7033474,"(40.508940299999999, -3.7033474000000002)",7235.867321876984
309542785,40.5028865,-3.6614202,"(40.502886500000002, -3.6614201999999998)",10786.478111908442
310801499,40.455712,-3.6138003,"(40.455711999999998, -3.6138002999999999)",16716.662635340348
480437568,40.4573285,-3.6068901,"(40.457328500000003, -3.6068901000000002)",17125.352828213672
485099119,40.4646903,-3.6044438,"(40.464690300000001, -3.6044437999999999)",16911.361861542064
559824976,40.4124046,-3.6913919,"(40.412404600000002, -3.6913919000000002)",15613.48571600904
857157901,40.5032959,-3.7514124,"(40.503295899999998, -3.7514124)",4344.656968908347
988701242,40.4115794,-3.7113306,"(40.411579400000001, -3.7113306000000001)",14942.901420989372
991793741,40.4100963,-3.6908892,"(40.410096299999999, -3.6908892)",15858.392312160739
1048614525,40.4120609,-3.6281796,"(40.4120609, -3.6281796000000002)",18851.001349578604
1048614568,40.4221651,-3.6010425,"(40.422165100000001, -3.6010425000000001)",19771.869446513796
1052390666,40.4134234,-3.7605708,"(40.413423399999999, -3.7605708)",13612.717650169756
1052390687,40.4023504,-3.7728666,"(40.402350400000003, -3.7728666)",14743.879973965026
1052390702,40.4301741,-3.737845,"(40.430174100000002, -3.7378450000000001)",12212.332151526249
1052390709,40.4206483,-3.7335474,"(40.420648300000003, -3.7335474)",13332.373264771537
1052390720,40.4248716,-3.7335291,"(40.424871600000003, -3.7335291000000002)",12886.565246239592
1052390725,40.4450901,-3.756434,"(40.445090100000002, -3.7564340000000001)",10200.56966240317
1052390741,40.4282947,-3.7365898,"(40.428294700000002, -3.7365898)",12443.88256293852
1065410258,40.5177233,-3.7737616,"(40.5177233, -3.7737615999999998)",2013.2400261084094
1174617840,40.3727266,-3.6844722,"(40.3727266, -3.6844722000000001)",19816.64627552003
1228619939,40.4103315,-3.6172863,"(40.410331499999998, -3.6172863)",19633.620024675805
1240306089,40.4614781,-3.631873,"(40.461478100000001, -3.6318730000000001)",15080.902678243383
1245970134,40.424851,-3.605743,"(40.424850999999997, -3.6057429999999999)",19274.685882751033
1247495866,40.4586672,-3.6215899,"(40.458667200000001, -3.6215899)",15983.277937373447
1258603112,40.3991895,-3.6490433,"(40.399189499999999, -3.6490433000000002)",18806.683933290202
