CODIGO,ZV-VP,DISTRITO,DIRECCION,COMP-DIR,X_ETRS89,Y_ETRS89,SISTEMA DE COORDENADAS,ESTADO,OBSERVACIONES,FECHA,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
FUE_06-17_0000000120,VP,VILLAVERDE,AV .DE LOS ROSALES  131,,"442425,6818","4467013,953",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6779792,40.3516975,No match,,,"(None, None)",,4503595.316653625,"('40.3516975', '-3.6779792')"
FUE_06-17_0000000071,ZV,VILLAVERDE,INT HUESPED DEL SEVILLANO DÑA FRANCISQUITA,,"440666,7395","4467541,098",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6987395,40.3563231,No match,,,"(None, None)",,4504281.596356318,"('40.3563231', '-3.6987395')"
FUE_06-17_0000000073,ZV,VILLAVERDE,INTBL. SOTO DEL PARRAL- HUESPED SEVILLANO,,"440748,1625","4467576,455",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.697784,40.3566474,No match,,,"(None, None)",,4504309.444727436,"('40.3566474', '-3.697784')"
FUE_05-18_0000000048,VP,VILLA DE VALLECAS,CAÑADA DEL SANTISIMO 30,,"449168,9057","4468376,501",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.5986857,40.3644106,No match,,,"(None, None)",,4504345.819716335,"('40.3644106', '-3.5986857')"
FUE_05-18_0000000050,ZV,VILLA DE VALLECAS,ENTREPEÑAS    71,,"448221,3061","4468529,515",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6098583,40.3657308,No match,,,"(None, None)",,4504583.626487699,"('40.3657308', '-3.6098583')"
FUE_06-12_0000000065,VP,USERA,BEASAIN 39 - 45  ,,"439239,9878","4468753,572",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7156559,40.367143,No match,,,"(None, None)",,4505621.801938844,"('40.367143', '-3.7156559')"
FUE_05-18_0000000052,ZV,VILLA DE VALLECAS,PROVISIONAL ATALAYUELA  TRES,,"445828,8248","4468761,782",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6380556,40.3676711,No match,,,"(None, None)",,4505030.974897051,"('40.3676711', '-3.6380556')"
FUE_03-10_0000000038,ZV,LATINA,Z.A. PAU CARABANCHEL - UNIDAD III,,435078.29,4468924.45,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7646875,40.3683686,No match,,,"(None, None)",,4506174.685737414,"('40.3683686', '-3.7646875')"
FUE_06-12_0000000060,ZV,USERA,PZA. ASOCIACION MESETA DE ORCASITAS,,"439884,1619","4469010,373",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7080934,40.369503,No match,,,"(None, None)",,4505819.117532941,"('40.369503', '-3.7080934')"
FUE_05-13_0000000082,ZV,PUENTE VALLECAS,PARQUE GARRRIGUES WALKER,,"443876,2747","4469002,731",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6610735,40.3697126,No match,,,"(None, None)",,4505448.111954439,"('40.3697126', '-3.6610735')"
