CODIGO,ZONA VERDE / VIA PUBLICA,DISTRITO,DIRECCION,COMPLEMENTO DE DIRECCI”N,X_ETRS89,Y_ETRS89,SISTEMA DE COORDENADAS,ESTADO,OBSERVACIONES,FECHA DATOS,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
FUE_06-17_0000000071,ZV,VILLAVERDE,INT HUESPED DEL SEVILLANO DÑA FRANCISQUITA,,440666.7395,4467541.098,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.698739528656006,40.3563232421875,node/3371812386,40.3563693,-3.6987094,"(40.356369299999997, -3.6987093999999998)",,5.724033805846712,"(40.356369299999997, -3.6987093999999998)"
FUE_06-17_0000000073,ZV,VILLAVERDE,INTBL. SOTO DEL PARRAL- HUESPED SEVILLANO,,440748.1625,4467576.455,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.697783946990967,40.35664749145508,node/3370152669,40.3564846,-3.6978708,"(40.356484600000002, -3.6978708)",,19.55622657967063,"(40.356484600000002, -3.6978708)"
FUE_05-18_0000000048,VP,VILLA DE VALLECAS,CAÑADA DEL SANTISIMO 30,,449168.9057,4468376.501,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.5986857414245605,40.364410400390625,node/4450589297,40.3645351,-3.5985856,"(40.364535099999998, -3.5985855999999998)",,16.260331820343204,"(40.364535099999998, -3.5985855999999998)"
FUE_05-13_0000000154,ZV,PUENTE VALLECAS,ESTEBAN CARROS Nº 80 ,,443966.1129,4468951.394,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.660010814666748,40.36925506591797,node/4344528684,40.3692578,-3.6600622,"(40.3692578, -3.6600622)",,4.365087444117118,"(40.3692578, -3.6600622)"
FB_100010,ZV,PUENTE VALLECAS,PARQUE LINEAL DEL MANZANAREES,07 · MONTAÑA (C.01),441891.0,4469346.8,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6844875812530518,40.372676849365234,node/1174617840,40.3727266,-3.6844722,"(40.3727266, -3.6844722000000001)",,5.685001179823707,"(40.3727266, -3.6844722000000001)"
FUE_06-12_0000000024,ZV,USERA,PARQUE DE PRADOLONGO,,439829.9992,4469568.607,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7087841033935547,40.37452697753906,node/3733455295,40.3745193,-3.7087134,"(40.374519300000003, -3.7087134000000002)",,6.051612160218768,"(40.374519300000003, -3.7087134000000002)"
FB_100004,ZV,USERA,PARQUE LINEAL DEL MANZANAREES,08 · PRADERA-ESTANQUE (B.05),441665.2,4469579.1,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6871683597564697,40.374752044677734,node/4254265573,40.3748395,-3.6872113,"(40.3748395, -3.6872113)",,10.38555818119916,"(40.3748395, -3.6872113)"
FB_100009,ZV,PUENTE VALLECAS,PARQUE LINEAL DEL MANZANAREES,11 · ACCESO ATALAYA (B.04),441837.5,4469717.5,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6851515769958496,40.37601089477539,node/1448407485,40.3759982,-3.6852046,"(40.375998199999998, -3.6852046000000001)",,4.709466117398648,"(40.375998199999998, -3.6852046000000001)"
FUE_05-13_0000000093,ZV,PUENTE VALLECAS,AVD DE ENTREVÍAS EN EL CRUCE CON RONDA DEL SUR,,443955.7671,4469789.003,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6602063179016113,40.376800537109375,node/4127649539,40.3768608,-3.6601327,"(40.376860800000003, -3.6601327000000001)",,9.156307628978963,"(40.376860800000003, -3.6601327000000001)"
FUE_05-13_0000000058,ZV,PUENTE VALLECAS,PUERTO DE BALBARÁN JUNTO A PISTAS,,444048.3084,4469821.103,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.659118890762329,40.377098083496094,node/4236658376,40.3771186,-3.6590893,"(40.377118600000003, -3.6590893000000002)",,3.3902592715798985,"(40.377118600000003, -3.6590893000000002)"
