CODIGO,ZV-VP,DISTRITO,DIRECCION,COMP-DIR,X_ETRS89,Y_ETRS89,SISTEMA DE COORDENADAS,ESTADO,OBSERVACIONES,FECHA,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
FUE_06-17_0000000071,ZV,VILLAVERDE,INT HUESPED DEL SEVILLANO DÑA FRANCISQUITA,,440666.7395,4467541.098,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6987395,40.3563231,3371812386,40.3563693,-3.6987094,"(40.356369299999997, -3.6987093999999998)",,5.737111602252679,"('40.3563231', '-3.6987395')"
FUE_06-17_0000000073,ZV,VILLAVERDE,INTBL. SOTO DEL PARRAL- HUESPED SEVILLANO,,440748.1625,4467576.455,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.697784,40.3566474,3370152669,40.3564846,-3.6978708,"(40.356484600000002, -3.6978708)",,19.54511132480214,"('40.3566474', '-3.697784')"
FUE_05-18_0000000048,VP,VILLA DE VALLECAS,CAÑADA DEL SANTISIMO 30,,449168.9057,4468376.501,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.5986857,40.3644106,4450589297,40.3645351,-3.5985856,"(40.364535099999998, -3.5985855999999998)",,16.23956390431308,"('40.3644106', '-3.5986857')"
FB_100010,ZV,PUENTE VALLECAS,PARQUE LINEAL DEL MANZANAREES,07 · MONTAÑA (C.01),441891.0,4469346.8,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6844875,40.3726761,1174617840,40.3727266,-3.6844722,"(40.3727266, -3.6844722000000001)",,5.764609463879646,"('40.3726761', '-3.6844875')"
FUE_06-12_0000000024,ZV,USERA,PARQUE DE PRADOLONGO,,439829.9992,4469568.607,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.708784,40.3745281,3733455295,40.3745193,-3.7087134,"(40.374519300000003, -3.7087134000000002)",,6.061841427841117,"('40.3745281', '-3.708784')"
FB_100004,ZV,USERA,PARQUE LINEAL DEL MANZANAREES,08 · PRADERA-ESTANQUE (B.05),441665.2,4469579.1,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6871684,40.374753,4254265573,40.3748395,-3.6872113,"(40.3748395, -3.6872113)",,10.284897372165558,"('40.374753', '-3.6871684')"
FUE_05-13_0000000093,ZV,PUENTE VALLECAS,AVD DE ENTREVÍAS EN EL CRUCE CON RONDA DEL SUR,,443955.7671,4469789.003,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6602062,40.3768011,4127649539,40.3768608,-3.6601327,"(40.376860800000003, -3.6601327000000001)",,9.103738453953765,"('40.3768011', '-3.6602062')"
FUE_05-13_0000000063,ZV,PUENTE VALLECAS,PUERTO DE BALBARÁN JUNTO A PISTAS,,443876.5911,4469893.588,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6611481,40.377738,4236658383,40.3778041,-3.6611465,"(40.377804099999999, -3.6611465000000001)",,7.353305300291165,"('40.377738', '-3.6611481')"
FUE_05-13_0000000092,ZV,PUENTE VALLECAS,PARQUE LINEAL DE PALOMERAS EN EL CRUCE CON CALLE ARAGONESES,,445387.9364,4470126.469,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6433651,40.3799363,1295884051,40.3799794,-3.6435365,"(40.379979400000003, -3.6435365000000002)",,15.293195630990065,"('40.3799363', '-3.6433651')"
FUE_05-13_0000000073,ZV,PUENTE VALLECAS,PARQUE LINEAL DE PALOMERAS EN EL CRUCE CON CALLE LEONESES EN ANILLO CICLISTA,,445103.0512,4470186.518,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6467262,40.3804586,4116738893,40.3804416,-3.646788,"(40.380441599999997, -3.6467879999999999)",,5.56711423981931,"('40.3804586', '-3.6467262')"
