id_OSM,LATITUD,LONGITUD,coord
node/559824976,40.4124046,-3.6913919,"(40.412404600000002, -3.6913919000000002)"
node/857157901,40.5032959,-3.7514124,"(40.503295899999998, -3.7514124)"
node/991793741,40.4100963,-3.6908892,"(40.410096299999999, -3.6908892)"
node/1048614568,40.4221651,-3.6010425,"(40.422165100000001, -3.6010425000000001)"
node/1052390687,40.4023504,-3.7728666,"(40.402350400000003, -3.7728666)"
node/1052390725,40.4450901,-3.756434,"(40.445090100000002, -3.7564340000000001)"
node/1228619939,40.4103315,-3.6172863,"(40.410331499999998, -3.6172863)"
node/1247495866,40.4586672,-3.6215899,"(40.458667200000001, -3.6215899)"
node/1295884428,40.4062,-3.6577811,"(40.406199999999998, -3.6577810999999998)"
node/1325487024,40.4229607,-3.6381304,"(40.422960699999997, -3.6381304000000001)"
node/1354800898,40.388443,-3.6338758,"(40.388443000000002, -3.6338758000000002)"
node/1435226224,40.4446795,-3.7083824,"(40.444679499999999, -3.7083824000000001)"
node/1435923179,40.4220952,-3.7312264,"(40.422095200000001, -3.7312264000000002)"
node/1436712916,40.4099184,-3.6861031,"(40.409918400000002, -3.6861031)"
node/1436712962,40.4119248,-3.6355053,"(40.411924800000001, -3.6355053000000002)"
node/1440939166,40.4126948,-3.7495808,"(40.412694799999997, -3.7495807999999999)"
node/1440939172,40.4098531,-3.7507684,"(40.409853099999999, -3.7507684000000001)"
node/1440939173,40.4113367,-3.7515119,"(40.4113367, -3.7515119000000001)"
node/1440939175,40.4119453,-3.7478561,"(40.411945299999999, -3.7478560999999999)"
node/1460364330,40.4000879,-3.6561554,"(40.400087900000003, -3.6561553999999998)"
node/1464142407,40.4414624,-3.6902285,"(40.441462399999999, -3.6902284999999999)"
node/1504407832,40.4874,-3.5909,"(40.487400000000001, -3.5909)"
node/1517405751,40.4269252,-3.7038301,"(40.426925199999999, -3.7038300999999998)"
node/1743699840,40.4189236,-3.6935925,"(40.418923599999999, -3.6935924999999998)"
node/1802463854,40.4586098,-3.7076673,"(40.458609799999998, -3.7076673000000002)"
node/1802463886,40.4593255,-3.7253235,"(40.459325499999998, -3.7253235)"
node/1828866774,40.4982765,-3.6956823,"(40.498276500000003, -3.6956823000000001)"
node/1888592115,40.4157491,-3.6732592,"(40.415749099999999, -3.6732591999999999)"
node/1892827824,40.4589666,-3.7207913,"(40.458966599999997, -3.7207913000000001)"
node/1892827827,40.4582789,-3.7181601,"(40.458278900000003, -3.7181601)"
