id_OSM,lat_OSM,lon_OSM,coord
node/167386178,40.4249802,-3.6886785,"(40.4249802, -3.6886785)"
node/167386208,40.424672,-3.6886124,"(40.424672000000001, -3.6886123999999998)"
node/167386308,40.42443,-3.6886635,"(40.424430000000001, -3.6886635000000001)"
node/2637091815,40.50533,-3.6579593,"(40.505330000000001, -3.6579592999999999)"
node/2637091828,40.5088416,-3.6586406,"(40.508841599999997, -3.6586406)"
node/2650474571,40.5186502,-3.6873214,"(40.518650200000003, -3.6873214000000001)"
node/2650474574,40.5179244,-3.6857282,"(40.517924399999998, -3.6857281999999998)"
node/2650474580,40.5189724,-3.6859347,"(40.518972400000003, -3.6859346999999998)"
node/2650474582,40.5218882,-3.687882,"(40.521888199999999, -3.6878820000000001)"
node/2650474584,40.5200775,-3.6882173,"(40.520077499999999, -3.6882172999999998)"
node/2650474587,40.520471,-3.686439,"(40.520471000000001, -3.686439)"
node/2748368457,40.4390997,-3.6537907,"(40.4390997, -3.6537907000000001)"
node/2757304224,40.4390597,-3.654721,"(40.439059700000001, -3.6547209999999999)"
node/2757304242,40.4386476,-3.6544432,"(40.438647600000003, -3.6544431999999998)"
node/2757304251,40.4385622,-3.6546704,"(40.4385622, -3.6546704000000001)"
node/2764886671,40.4400217,-3.6550694,"(40.440021700000003, -3.6550693999999999)"
node/2764886674,40.4393092,-3.6548496,"(40.439309199999997, -3.6548495999999999)"
node/2764886684,40.439174,-3.655041,"(40.439174000000001, -3.6550410000000002)"
node/2764886703,40.4399129,-3.6558072,"(40.439912900000003, -3.6558071999999999)"
node/2764886832,40.4399644,-3.6543369,"(40.439964400000001, -3.6543369000000001)"
node/2764886894,40.4403032,-3.654595,"(40.440303200000002, -3.654595)"
node/2769246382,40.43905,-3.6534706,"(40.439050000000002, -3.6534705999999999)"
node/2792593927,40.4371035,-3.6531043,"(40.437103499999999, -3.6531042999999999)"
node/2792593928,40.4368003,-3.6528524,"(40.436800300000002, -3.6528524)"
node/2792593931,40.4364861,-3.6525813,"(40.436486100000003, -3.6525813)"
node/2794607189,40.4375219,-3.6504355,"(40.4375219, -3.6504354999999999)"
node/2794645078,40.4373946,-3.6533459,"(40.437394599999998, -3.6533459000000001)"
node/2798480991,40.4397547,-3.6549873,"(40.439754700000002, -3.6549873000000002)"
node/2798480992,40.4395474,-3.6549232,"(40.439547400000002, -3.6549231999999998)"
node/2798480994,40.4391171,-3.655356,"(40.439117099999997, -3.6553559999999998)"
node/2798481119,40.4397136,-3.6559658,"(40.439713599999997, -3.6559658000000002)"
node/2798481143,40.4397943,-3.6563238,"(40.439794300000003, -3.6563238)"
node/2798481147,40.4396468,-3.6568326,"(40.439646799999998, -3.6568326)"
node/2798481160,40.4390291,-3.6569675,"(40.439029099999999, -3.6569674999999999)"
node/2798481162,40.4383005,-3.6570634,"(40.438300499999997, -3.6570634000000002)"
node/2798481163,40.4381244,-3.6569308,"(40.4381244, -3.6569308)"
node/2798481164,40.4381988,-3.6565546,"(40.438198800000002, -3.6565546000000002)"
node/2798481165,40.4382778,-3.6561551,"(40.438277800000002, -3.6561550999999999)"
node/2798481166,40.4385469,-3.65559,"(40.438546899999999, -3.6555900000000001)"
node/2798481167,40.4389901,-3.6557328,"(40.438990099999998, -3.6557328)"
node/2798481168,40.4392256,-3.6555999,"(40.4392256, -3.6555998999999999)"
node/2798481175,40.4393488,-3.6558479,"(40.439348799999998, -3.6558478999999999)"
