COD,TIPO,CALIF,TITULO,LOCALIZACION,OSM,OSM_score,OSMLocation,OSMLocation_score,OSMLocation_distance,COORD,COORD_OSM,OSM_name
8878,5,,FRANCISCO LARGO CABALLERO,FRANCISCO LARGO CABALLERO,95.0,1.0,,,,0,0,Francisco Largo Caballero
8579,3,,ANTONIO MACHADO,"AVDA. DE ANTONIO MACHADO, 55",150.0,1.0,,,,0,0,Antonio Machado
9728,5,,CAMPOAMOR,Pº DE RECOLETOS Nº17,293.0,1.0,,,,0,0,Campoamor
8504,5,,INDALECIO PRIETO,"Pº. CASTELLANA, (M.O.P.U.)",449.0,1.0,,,,0,0,Indalecio Prieto
8759,1,,PEDRO VARGAS,"Pº DUQUE FERNAN NUÑEZ, C/V Pº PANAMA (P. RETIRO)",185.0,1.0,,,,0,0,Pedro Vargas
8799,5,NOT,MIGUEL MOYA,"SERRANO, 4",291.0,1.0,,,,0,0,Miguel Moya
8497,5,,ANTONIO MACHADO,"GENERAL ARRANDO, 4",150.0,1.0,,,,0,0,Antonio Machado
8223,6,,CRUZ PUERTA CERRADA,PZA. PUERTA CERRADA,146.0,1.0,,,,0,0,Cruz Puerta Cerrada
8817,5,,DIONISIO RIDRUEJO,PARQUE MARTALA,399.0,1.0,,,,0,0,Dionisio Ridruejo
9397,2,,PABLO IGLESIAS,SAN FRANCISCO DE SALES-PABLO IGLESIAS,77.0,1.0,,,,0,0,Pablo Iglesias
8837,5,,ALBERTO AGUILERA,"MAGDALENA, 6",268.0,1.0,,,,0,0,Alberto Aguilera
8552,1,,JAIME I,FRANCISCO Y JACINTO ALCANTARA,90.0,1.0,,,,0,0,Jaime I
8849,1,,ARTURO SORIA,PUENTE ARTURO SORIA SOBRE AV. DE AMERICA,133.0,1.0,,,,0,0,Arturo Soria
8165,5,,IGLESIA SAN SALVADOR,"MAYOR, 70",220.0,1.0,,,,0,0,Iglesia de San Salvador
9574,3,,CABEZA OLMECA,C/VALDERREBOLLO/C/ GRANJA DE SAN ILDEFONSO/,96.0,1.0,,,,0,0,Cabeza Olmeca
8022,1,EXC,FELIPE III,PZA. MAYOR,400.0,1.0,,,,0,0,Felipe III
8880,5,,EDUARDO ROSALES,"VALGAME DIOS, 2",193.0,1.0,,,,0,0,Eduardo Rosales
8016,1,,CARLOS III,JARDINES SABATINI,17.0,1.0,,,,0,0,Estatua de Carlos III
9189,1,,GOYA,ALCALA C/V GOYA,33.0,1.0,,,,0,0,Monumento a Goya
8974,1,NOT,CARLOS III,PUERTA DEL SOL,17.0,1.0,,,,0,0,Estatua de Carlos III
9152,6,NOT,GOYA,FRANCISCO Y JACINTO ALCANTARA (ANT. PASO A NIVEL),33.0,1.0,,,,0,0,Monumento a Goya
8983,1,,ANTONIO MACHADO,RAMON DEL VALLE-ARCOS DEL JALON (CENTRO CULTURAL),150.0,1.0,,,,0,0,Antonio Machado
