ID;SEARCH;AYU;OSM;DOCTORDATA;distance_SAME;distance_CLOSE;palabra;bot
BANCOS;"[""amenity""=""bench""]";DISTRITO;;DISTRITO;5;50;BANCOS;banco
BANCOS;"[""amenity""=""bench""]";BARRIO;;BARRIO;5;50;BANCOS;banco
BANCOS;"[""amenity""=""bench""]";MODELO;;MODELO;5;50;BANCOS;banco
BANCOS;"[""amenity""=""bench""]";X_ETRS89;;X_ETRS89;5;50;BANCOS;banco
BANCOS;"[""amenity""=""bench""]";Y_ETRS89;;Y_ETRS89;5;50;BANCOS;banco
BANCOS;"[""amenity""=""bench""]";Longitud;;LONGITUD;5;50;BANCOS;banco
BANCOS;"[""amenity""=""bench""]";Latitud;;LATITUD;5;50;BANCOS;banco
FUENTES;"[""amenity""=""drinking_water""]";CODIGO;;CODIGO;5;50;InventarioFuentes;fuente
FUENTES;"[""amenity""=""drinking_water""]";ZONA VERDE / VIA PUBLICA;;ZV-VP;5;50;InventarioFuentes;fuente
FUENTES;"[""amenity""=""drinking_water""]";DISTRITO;;DISTRITO;5;50;InventarioFuentes;fuente
FUENTES;"[""amenity""=""drinking_water""]";DIRECCION;;DIRECCION;5;50;InventarioFuentes;fuente
FUENTES;"[""amenity""=""drinking_water""]";COMPLEMENTO DE DIRECCION;;COMP-DIR;5;50;InventarioFuentes;fuente
FUENTES;"[""amenity""=""drinking_water""]";COORD. X;;X_ETRS89;5;50;InventarioFuentes;fuente
FUENTES;"[""amenity""=""drinking_water""]";COORD. Y;;Y_ETRS89;5;50;InventarioFuentes;fuente
FUENTES;"[""amenity""=""drinking_water""]";SISTEMA DE COORDENADAS;;SISTEMA DE COORDENADAS;5;50;InventarioFuentes;fuente
FUENTES;"[""amenity""=""drinking_water""]";ESTADO;;ESTADO;5;50;InventarioFuentes;fuente
FUENTES;"[""amenity""=""drinking_water""]";OBSERVACIONES;;OBSERVACIONES;5;50;InventarioFuentes;fuente
FUENTES;"[""amenity""=""drinking_water""]";FECHA DATOS;;FECHA;5;50;InventarioFuentes;fuente
FUENTES;"[""amenity""=""drinking_water""]";LONGITUD;;LONGITUD;5;50;InventarioFuentes;fuente
FUENTES;"[""amenity""=""drinking_water""]";LATITUD;;LATITUD;5;50;InventarioFuentes;fuente
PAPELERAS;"[""amenity""=""waste_basket""]";DISTRITO;;DISTRITO;5;50;PAPELERAS;fuente
PAPELERAS;"[""amenity""=""waste_basket""]";BARRIO;;BARRIO;5;50;PAPELERAS;fuente
PAPELERAS;"[""amenity""=""waste_basket""]";MODELO;;MODELO;5;50;PAPELERAS;fuente
PAPELERAS;"[""amenity""=""waste_basket""]";X_ETRS89;;X_ETRS89;5;50;PAPELERAS;fuente
PAPELERAS;"[""amenity""=""waste_basket""]";Y_ETRS89;;Y_ETRS89;5;50;PAPELERAS;fuente
PAPELERAS;"[""amenity""=""waste_basket""]";Longitud;;LONGITUD;5;50;PAPELERAS;fuente
PAPELERAS;"[""amenity""=""waste_basket""]";Latitud;;LATITUD;5;50;PAPELERAS;fuente
MONUMENTOS;"[""artwork_type"": ""statue"",""historic"": ""monument"",""historic""=""memorial""]";COD;;CODIGO;5;50;monumentos;monumento
MONUMENTOS;"[""artwork_type"": ""statue"",""historic"": ""monument"",""historic""=""memorial""]";TIPO;;TIPO;5;50;monumentos;monumento
MONUMENTOS;"[""artwork_type"": ""statue"",""historic"": ""monument"",""historic""=""memorial""]";CALIF;;CALIF;5;50;monumentos;monumento
MONUMENTOS;"[""artwork_type"": ""statue"",""historic"": ""monument"",""historic""=""memorial""]";TITULO;name;NOMBRE;5;50;monumentos;monumento
MONUMENTOS;"[""artwork_type"": ""statue"",""historic"": ""monument"",""historic""=""memorial""]";LOCALIZACION;address;DIRECCION;5;50;monumentos;monumento
FAROLAS;"[""highway"": ""street_lamp""]";;;;;;street_lamp;farola
